,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
115,116,Hans Heilings Felsen,Koerner,1791,Kunstepoche,Erzählung,epik,1811,Koerner_HansHeilingFelsen.txt,https://www.projekt-gutenberg.org/autoren/namen/koerner.html,,5239
116,117,Woldemar,Koerner,1791,Kunstepoche,Erzählung,epik,1805,Koerner_Woldemar.txt,https://www.projekt-gutenberg.org/autoren/namen/koerner.html,,4017
55,56,Miß Kery und Sophie Gallen,La Roche,1730,Aufklaerung,Roman,epik,1789,LaRoche_MissKeryUndSophieGallen.txt,,,13533
56,57,Rosalie und Cleberg auf dem Lande,La Roche,1730,Aufklaerung,Roman,epik,1791,LaRoche_RosalieUndCLebergAufDemLande.txt,,,82866
6,7,Geschichte des Fräuleins von Sternheim ,La Roche,1730,Aufklaerung,Roman,epik,1771,LaRoche_FraeuleinVonSternheim.txt,https://www.projekt-gutenberg.org/laroche/sternhm/sternhm.html,,103438
118,119,Das Haus Bärburg oder der Familienzwist,Lafontain,1758,Aufklaerung,Novelle,epik,1805,Lafontain_DasHausBaerburg.txt,https://www.projekt-gutenberg.org/autoren/namen/lafonta.html,,82685
119,120,Leben und Thaten des Freiherrn Quinctius Heymeran von Flaming ,Lafontain,1758,Aufklaerung,Novelle,epik,1798,Lafontain_Quinctius.txt,https://www.projekt-gutenberg.org/autoren/namen/lafonta.html,,318365
120,121,Klara du Plessis und Klairant ,Lafontain,1758,Aufklaerung,Roman,epik,1801,Lafontain_KlaraUndKlairant.txt,https://www.projekt-gutenberg.org/autoren/namen/lafonta.html,,113056
58,59,Der Krieg der Fünfkäser und Bierhengste,Laukhard,1757,Aufklaerung,Roman,epik,,Laukhard_KriegDerFuenfkaeser.txt,,,34632
59,60,Eulerkappers Leben und Leiden,Laukhard,1757,Aufklaerung,Roman,epik,1804,Laukhard_Eulerkapp.txt,,,27798
50,51,Der Redliche Mann am Hofe,Loen,1694,Aufklaerung,Roman,epik,1740,Loen_DerRedlichMannAmHofe.txt,,,116587
