,id,title,author,author_birth_year,period,type,genre,date,file,source,annotation,tokens_cleaned
252,253,Die Walpurgisnacht,Birch-Pfeiffer,1800,Kunstepoche,,drama,1830,birch-pfeiffer-die-walpurgisnacht.xml,https://github.com/dracor-org/gerdracor,,19873
253,254,Der letzte Held von Marienburg,Eichendorff,1788,Kunstepoche,Tragedy,drama,1830,eichendorff-der-letzte-held-von-marienburg.xml,https://github.com/dracor-org/gerdracor,,27759
254,255,Kaiser Heinrich der Sechste,Grabbe,1801,Kunstepoche,Tragedy,drama,1830,grabbe-kaiser-heinrich-der-sechste.xml,https://github.com/dracor-org/gerdracor,,34682
255,256,Napoleon oder Die hundert Tage,Grabbe,1801,Kunstepoche,,drama,1831,grabbe-napoleon.xml,https://github.com/dracor-org/gerdracor,,43939
256,257,Des Meeres und der Liebe Wellen,Grillparzer,1791,Kunstepoche,Tragedy,drama,1831,grillparzer-des-meeres-und-der-liebe-wellen.xml,https://github.com/dracor-org/gerdracor,,22745
257,258,Faust. Der Tragödie zweiter Teil,Goethe,1749,Aufklaerung,Tragedy,drama,1832,goethe-faust-der-tragoedie-zweiter-teil.xml,https://github.com/dracor-org/gerdracor,,53408
258,259,Ein Trauerspiel in Berlin,Holtei,1798,Kunstepoche,Tragedy,drama,1832,holtei-ein-trauerspiel-in-berlin.xml,https://github.com/dracor-org/gerdracor,,22357
259,260,Das Gericht von St. Petersburg,Immermann,1796,Kunstepoche,Tragedy,drama,1832,immermann-das-gericht-von-st-petersburg.xml,https://github.com/dracor-org/gerdracor,,23879
260,261,Die Bojaren,Immermann,1796,Kunstepoche,,drama,1832,immermann-die-bojaren.xml,https://github.com/dracor-org/gerdracor,,21427
261,262,Eudoxia,Immermann,1796,Kunstepoche,,drama,1832,immermann-eudoxia.xml,https://github.com/dracor-org/gerdracor,,8247
262,263,Merlin,Immermann,1796,Kunstepoche,,drama,1832,immermann-merlin.xml,https://github.com/dracor-org/gerdracor,,25806
263,264,Hans Heiling,Devrient,1801,Kunstepoche,,drama,1833,devrient-hans-heiling.xml,https://github.com/dracor-org/gerdracor,,16420
264,265,Die Freier,Eichendorff,1788,Kunstepoche,Comedy,drama,1833,eichendorff-die-freier.xml,https://github.com/dracor-org/gerdracor,,17813
