Epoche,Corpus,Tokens
complete,epik,122047
aufklaerung,epik,139724
kunstepoche,epik,128657
complete,drama,93044
aufklaerung,drama,107797
kunstepoche,drama,97741
complete,lyrik,98026
aufklaerung,lyrik,118392
kunstepoche,lyrik,110740
