Epoche,Corpus,Tokens
complete,epik,154935
aufklaerung,epik,69741
kunstepoche,epik,127022
complete,drama,118593
aufklaerung,drama,48576
kunstepoche,drama,99504
complete,lyrik,142099
aufklaerung,lyrik,82812
kunstepoche,lyrik,117032
